positions0,positions1,positions2,positions3,positions4,salary0,salary1,salary2,salary3,salary4,term,url
15,8,4,3,2,20000,25000,30000,50000,60000,doll,http://www.indeed.com/jobs?q=doll&l=Washington%2C+DC
16076,12581,9745,6519,3597,35000,55000,70000,85000,100000,washington dc,http://www.indeed.com/jobs?q=washington+dc&l=Washington%2C+DC
1314,1058,836,615,343,70000,85000,95000,105000,120000,mba,http://www.indeed.com/jobs?q=mba&l=Washington%2C+DC
36616,29581,22575,15800,8626,30000,50000,70000,85000,100000,it,http://www.indeed.com/jobs?q=it&l=Washington%2C+DC
105,88,62,42,23,65000,75000,95000,110000,120000,tangible business value,http://www.indeed.com/jobs?q=tangible+business+value&l=Washington%2C+DC
244,215,174,130,62,90000,95000,100000,105000,115000,agile app development,http://www.indeed.com/jobs?q=agile+app+development&l=Washington%2C+DC
1795,1490,1262,770,390,80000,90000,95000,105000,115000,enterprise software deployment,http://www.indeed.com/jobs?q=enterprise+software+deployment&l=Washington%2C+DC
1996,1715,1288,801,556,85000,95000,105000,115000,120000,cloud implementations,http://www.indeed.com/jobs?q=cloud+implementations&l=Washington%2C+DC
1353,1073,839,604,282,60000,80000,90000,100000,115000,data science initiatives,http://www.indeed.com/jobs?q=data+science+initiatives&l=Washington%2C+DC
2130,1691,1455,917,458,70000,85000,90000,100000,110000,custom software,http://www.indeed.com/jobs?q=custom+software&l=Washington%2C+DC
2771,2201,1670,1099,628,65000,80000,90000,100000,110000,security threats,http://www.indeed.com/jobs?q=security+threats&l=Washington%2C+DC
3556,2818,2237,1445,784,35000,55000,70000,90000,105000,real time,http://www.indeed.com/jobs?q=real+time&l=Washington%2C+DC
277,237,190,124,72,50000,65000,75000,85000,95000,faa,http://www.indeed.com/jobs?q=faa&l=Washington%2C+DC
17,13,10,8,4,50000,60000,70000,75000,95000,peacekeeping,http://www.indeed.com/jobs?q=peacekeeping&l=Washington%2C+DC
14,11,8,7,3,40000,45000,50000,55000,75000,three-person team,http://www.indeed.com/jobs?q=three-person+team&l=Washington%2C+DC
36599,29569,22567,15793,8624,30000,50000,70000,85000,100000,it,http://www.indeed.com/jobs?q=it&l=Washington%2C+DC
